-	mapped_CRC001_H_single.sam	mapped_CRC001_T_single.sam	mapped_CRC002_H_single.sam	mapped_CRC002_T_single.sam	mapped_CRC003_H_single.sam	mapped_CRC003_T_single.sam	mapped_CRC004_H_single.sam	mapped_CRC004_T_single.sam	mapped_CRC005_H_single.sam	mapped_CRC005_T_single.sam	mapped_CRC006_H_single.sam	mapped_CRC006_T_single.sam	mapped_CRC007_H_single.sam	mapped_CRC007_T_single.sam	mapped_CRC009_H_single.sam	mapped_CRC009_T_single.sam	mapped_CRC010_H_single.sam	mapped_CRC010_T_single.sam	mapped_CRC011_H_single.sam	mapped_CRC011_T_single.sam	mapped_CRC012_H_single.sam	mapped_CRC012_T_single.sam	mapped_CRC013_H_single.sam	mapped_CRC013_T_single.sam
NODE_36622_length_3403_cov_2.96744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	27	0	0	1	0	4	0	0	0
NODE_36625_length_1012_cov_1.57053	2	1	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_36655_length_1241_cov_3.9629	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	16	0	0	0	0	0	0	0	0
NODE_36688_length_1294_cov_2.64891	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	12	0	0	0	0	0	0	0	0
NODE_36820_length_1032_cov_2.08086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0	0	1
NODE_36829_length_1617_cov_2.05058	0	0	0	0	0	0	0	0	11	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_36837_length_1050_cov_1.4191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	1
NODE_36839_length_1116_cov_2.25919	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	10	0	0	0	0	0	0	0	0
NODE_36856_length_1030_cov_2.06564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	0	0	1	0	0	0	0	0
NODE_36858_length_1379_cov_1.70468	0	0	0	0	0	0	0	0	6	4	0	1	0	0	0	0	0	0	0	1	0	0	0	0
NODE_36864_length_959_cov_1.55863	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
NODE_36994_length_2128_cov_2.1862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	16	0	0	0	0	0	0	0	0
NODE_37022_length_1019_cov_6.45747	0	0	0	0	0	0	0	0	0	3	0	1	0	0	1	0	1	0	1	1	1	0	0	22
NODE_37043_length_1295_cov_1.54677	0	0	0	0	0	2	0	0	6	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0
NODE_37089_length_864_cov_5.50433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	20
NODE_37092_length_924_cov_1.99655	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0
NODE_37104_length_3722_cov_2.16635	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	21	1	7	0	0	0	0	0	0
NODE_37133_length_1392_cov_1.74495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	2	0	1	0	0	0	0	0
NODE_37142_length_1865_cov_1.85801	0	0	0	0	0	0	0	0	4	3	0	4	0	0	0	5	1	0	0	0	1	0	0	0
NODE_37161_length_2016_cov_1.68332	0	0	0	0	0	0	0	0	8	6	0	0	0	0	0	0	1	0	0	0	0	0	0	1
NODE_37171_length_1346_cov_2.25407	0	0	0	0	0	0	0	0	1	0	2	1	5	1	1	0	0	0	0	0	1	1	0	0
NODE_37195_length_825_cov_3.02208	0	0	0	0	0	2	0	0	1	1	0	0	1	0	0	0	0	0	0	1	1	0	0	9
NODE_37228_length_1897_cov_2.7405	0	0	0	0	0	0	0	0	16	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_37253_length_1202_cov_1.6905	0	0	0	0	0	0	0	0	1	0	2	5	0	0	0	0	0	1	0	0	0	0	0	0
NODE_37255_length_1059_cov_2.42231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0
